Index,Code,Nationality,Rate
1,ZH,foreign,5.3
2,BE,foreign,5.5
3,LU,foreign,3.9
4,UR,foreign,2.1
5,SZ,foreign,3.4
6,OW,foreign,2.2
7,NW,foreign,2.9
8,GL,foreign,3.4
9,ZG,foreign,3.9
10,FR,foreign,5.5
11,SO,foreign,5.5
12,BS,foreign,4.6
13,BL,foreign,4.8
14,SH,foreign,5.1
15,AR,foreign,3.4
16,AI,foreign,2.0
17,SG,foreign,4.3
18,GR,foreign,2.3
19,AG,foreign,5.6
20,TG,foreign,3.9
21,TI,foreign,4.6
22,VD,foreign,5.9
23,VS,foreign,4.9
24,NE,foreign,7.4
25,GE,foreign,5.7
26,JU,foreign,9.0

27,ZH,swiss,2.5
28,BE,swiss,1.8
29,LU,swiss,1.3
30,UR,swiss,0.4
31,SZ,swiss,1.2
32,OW,swiss,0.5
33,NW,swiss,0.7
34,GL,swiss,1.4
35,ZG,swiss,1.7
36,FR,swiss,2.0
37,SO,swiss,1.9
38,BS,swiss,2.8
39,BL,swiss,2.2
40,SH,swiss,2.2
41,AR,swiss,1.4
42,AI,swiss,0.5
43,SG,swiss,1.5
44,GR,swiss,0.7
45,AG,swiss,2.1
46,TG,swiss,1.4
47,TI,swiss,2.5
48,VD,swiss,3.5
49,VS,swiss,2.1
50,NE,swiss,4.2
51,GE,swiss,4.8
52,JU,swiss,3.6
